,GAME_DATE_EST,GAME_SEQUENCE,GAME_ID,GAME_STATUS_ID,GAME_STATUS_TEXT,GAMECODE,HOME_TEAM_ID,VISITOR_TEAM_ID,SEASON,LIVE_PERIOD,LIVE_PC_TIME,NATL_TV_BROADCASTER_ABBREVIATION,HOME_TV_BROADCASTER_ABBREVIATION,AWAY_TV_BROADCASTER_ABBREVIATION,LIVE_PERIOD_TIME_BCAST,ARENA_NAME,WH_STATUS
0,2019-03-06T00:00:00,1,0021800965,3,Final,20190306/MIACHA,1610612766,1610612748,2018,4,     ,,FSSE-CHA,FSSUN,Q4       - ,Spectrum Center,1
1,2019-03-06T00:00:00,2,0021800966,3,Final,20190306/MINDET,1610612765,1610612750,2018,4,     ,,FSD,FSNTH,Q4       - ,Little Caesars Arena,1
2,2019-03-06T00:00:00,3,0021800967,3,Final,20190306/DALWAS,1610612764,1610612742,2018,4,     ,,NBCSWA,FSSW-DAL,Q4       - ,Capital One Arena,1
3,2019-03-06T00:00:00,4,0021800968,3,Final,20190306/SASATL,1610612737,1610612759,2018,4,     ,,FSSE-ATL,FSSW-SA,Q4       - ,State Farm Arena,1
4,2019-03-06T00:00:00,5,0021800969,3,Final,20190306/CLEBKN,1610612751,1610612739,2018,4,     ,,YES,FSO,Q4       - ,Barclays Center,1
5,2019-03-06T00:00:00,6,0021800970,3,Final,20190306/PHICHI,1610612741,1610612755,2018,4,     ,ESPN,,NBCSP,Q4       - ESPN,United Center,1
6,2019-03-06T00:00:00,7,0021800971,3,Final,20190306/UTANOP,1610612740,1610612762,2018,4,     ,,FSNO,ATTSN-RM,Q4       - ,Smoothie King Center,1
7,2019-03-06T00:00:00,8,0021800972,3,Final,20190306/NYKPHX,1610612756,1610612752,2018,4,     ,,FSA,MSG,Q4       - ,Talking Stick Resort Arena,1
8,2019-03-06T00:00:00,9,0021800973,3,Final,20190306/BOSSAC,1610612758,1610612738,2018,4,     ,,NBCSCA,NBCSB,Q4       - ,Golden 1 Center,1
9,2019-03-06T00:00:00,10,0021800974,3,Final,20190306/DENLAL,1610612747,1610612743,2018,4,     ,ESPN,SPECSN,ALT,Q4       - ESPN,Staples Center,1
