,GAME_DATE_EST,GAME_SEQUENCE,GAME_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY_NAME,TEAM_NAME,TEAM_WINS_LOSSES,PTS_QTR1,PTS_QTR2,PTS_QTR3,PTS_QTR4,PTS_OT1,PTS_OT2,PTS_OT3,PTS_OT4,PTS_OT5,PTS_OT6,PTS_OT7,PTS_OT8,PTS_OT9,PTS_OT10,PTS,FG_PCT,FT_PCT,FG3_PCT,AST,REB,TOV
0,2019-03-10T00:00:00,1,0021800992,1610612741,CHI,Chicago,Bulls,19-49,32,23,25,28,0,0,0,0,0,0,0,0,0,0,108,0.5,0.654,0.5,18,37,10
1,2019-03-10T00:00:00,1,0021800992,1610612765,DET,Detroit,Pistons,34-31,31,30,42,28,0,0,0,0,0,0,0,0,0,0,131,0.538,0.636,0.543,34,44,7
2,2019-03-10T00:00:00,2,0021800993,1610612761,TOR,Toronto,Raptors,48-19,32,36,23,34,0,0,0,0,0,0,0,0,0,0,125,0.568,0.769,0.525,32,44,19
3,2019-03-10T00:00:00,2,0021800993,1610612748,MIA,Miami,Heat,31-35,27,27,25,25,0,0,0,0,0,0,0,0,0,0,104,0.457,0.571,0.296,27,36,13
4,2019-03-10T00:00:00,3,0021800994,1610612754,IND,Indiana,Pacers,42-25,25,34,11,19,0,0,0,0,0,0,0,0,0,0,89,0.373,0.595,0.313,18,44,14
5,2019-03-10T00:00:00,3,0021800994,1610612755,PHI,Philadelphia,76ers,42-25,26,25,21,34,0,0,0,0,0,0,0,0,0,0,106,0.437,0.767,0.304,24,52,13
6,2019-03-10T00:00:00,4,0021800995,1610612740,NOP,New Orleans,Pelicans,30-39,33,33,20,30,0,0,0,0,0,0,0,0,0,0,116,0.446,1.0,0.439,29,42,8
7,2019-03-10T00:00:00,4,0021800995,1610612737,ATL,Atlanta,Hawks,23-45,26,39,29,34,0,0,0,0,0,0,0,0,0,0,128,0.49,0.833,0.459,30,56,9
8,2019-03-10T00:00:00,5,0021800996,1610612753,ORL,Orlando,Magic,31-37,17,31,24,25,0,0,0,0,0,0,0,0,0,0,97,0.356,0.852,0.316,23,52,13
9,2019-03-10T00:00:00,5,0021800996,1610612763,MEM,Memphis,Grizzlies,28-40,26,23,26,30,0,0,0,0,0,0,0,0,0,0,105,0.415,0.903,0.29,23,46,11
10,2019-03-10T00:00:00,6,0021800997,1610612745,HOU,Houston,Rockets,41-25,25,33,23,13,0,0,0,0,0,0,0,0,0,0,94,0.364,0.636,0.308,18,41,12
11,2019-03-10T00:00:00,6,0021800997,1610612742,DAL,Dallas,Mavericks,27-39,26,28,18,21,0,0,0,0,0,0,0,0,0,0,93,0.413,0.815,0.281,24,51,16
12,2019-03-10T00:00:00,7,0021800998,1610612752,NYK,New York,Knicks,13-54,22,23,20,27,0,0,0,0,0,0,0,0,0,0,92,0.43,0.571,0.4,20,43,17
13,2019-03-10T00:00:00,7,0021800998,1610612750,MIN,Minnesota,Timberwolves,32-35,23,32,25,23,0,0,0,0,0,0,0,0,0,0,103,0.447,0.769,0.3,22,40,11
14,2019-03-10T00:00:00,8,0021800999,1610612749,MIL,Milwaukee,Bucks,50-17,32,28,23,31,0,0,0,0,0,0,0,0,0,0,114,0.471,0.72,0.389,22,45,10
15,2019-03-10T00:00:00,8,0021800999,1610612759,SAS,San Antonio,Spurs,38-29,25,29,33,34,0,0,0,0,0,0,0,0,0,0,121,0.49,0.733,0.414,24,46,4
16,2019-03-10T00:00:00,9,0021801000,1610612756,PHX,Phoenix,Suns,16-52,16,40,23,36,0,0,0,0,0,0,0,0,0,0,115,0.488,0.778,0.4,26,49,14
17,2019-03-10T00:00:00,9,0021801000,1610612744,GSW,Golden State,Warriors,45-21,29,28,23,31,0,0,0,0,0,0,0,0,0,0,111,0.442,0.773,0.233,34,48,16
