,SEASON_ID,TEAM_ID_x,TEAM_ABBREVIATION_x,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT_x,FG3M,FG3A,FG3_PCT_x,FTM,FTA,FT_PCT_x,OREB,DREB,REB_x,AST_x,STL,BLK,TOV_x,PF,PTS_x,PLUS_MINUS,VIDEO_AVAILABLE,Unnamed: 0,GAME_DATE_EST,GAME_SEQUENCE,TEAM_ID_y,TEAM_ABBREVIATION_y,TEAM_CITY_NAME,TEAM_WINS_LOSSES,PTS_QTR1,PTS_QTR2,PTS_QTR3,PTS_QTR4,PTS_OT1,PTS_OT2,PTS_OT3,PTS_OT4,PTS_OT5,PTS_OT6,PTS_OT7,PTS_OT8,PTS_OT9,PTS_OT10,PTS_y,FG_PCT_y,FT_PCT_y,FG3_PCT_y,AST_y,REB_y,TOV_y
0,22018,1610612761.0,TOR,Toronto Raptors,0021800993,2019-03-10,TOR @ MIA,W,240.0,42.0,74.0,0.568,21.0,40.0,0.525,20.0,26.0,0.769,6.0,38.0,44.0,32.0,8.0,8.0,21.0,23.0,125.0,21.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,22018,1610612748.0,MIA,Miami Heat,0021800993,2019-03-10,MIA vs. TOR,L,240.0,42.0,92.0,0.457,8.0,27.0,0.296,12.0,21.0,0.571,9.0,27.0,36.0,27.0,13.0,0.0,14.0,22.0,104.0,-21.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,22018,1610612754.0,IND,Indiana Pacers,0021800994,2019-03-10,IND @ PHI,L,240.0,31.0,83.0,0.373,5.0,16.0,0.313,22.0,37.0,0.595,12.0,32.0,44.0,18.0,8.0,4.0,14.0,27.0,89.0,-17.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,22018,1610612755.0,PHI,Philadelphia 76ers,0021800994,2019-03-10,PHI vs. IND,W,240.0,38.0,87.0,0.437,7.0,23.0,0.304,23.0,30.0,0.767,13.0,39.0,52.0,24.0,10.0,3.0,13.0,26.0,106.0,17.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,22018,1610612740.0,NOP,New Orleans Pelicans,0021800995,2019-03-10,NOP @ ATL,L,240.0,45.0,101.0,0.446,18.0,41.0,0.439,8.0,8.0,1.0,5.0,37.0,42.0,29.0,6.0,9.0,8.0,17.0,116.0,-12.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,22018,1610612737.0,ATL,Atlanta Hawks,0021800995,2019-03-10,ATL vs. NOP,W,240.0,48.0,98.0,0.49,17.0,37.0,0.459,15.0,18.0,0.833,10.0,46.0,56.0,30.0,4.0,5.0,10.0,12.0,128.0,12.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,22018,1610612763.0,MEM,Memphis Grizzlies,0021800996,2019-03-10,MEM vs. ORL,W,240.0,34.0,82.0,0.415,9.0,31.0,0.29,28.0,31.0,0.903,6.0,40.0,46.0,23.0,6.0,6.0,13.0,22.0,105.0,8.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,22018,1610612753.0,ORL,Orlando Magic,0021800996,2019-03-10,ORL @ MEM,L,240.0,31.0,87.0,0.356,12.0,38.0,0.316,23.0,27.0,0.852,14.0,38.0,52.0,23.0,7.0,4.0,14.0,23.0,97.0,-8.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,22018,1610612742.0,DAL,Dallas Mavericks,0021800997,2019-03-10,DAL vs. HOU,L,240.0,31.0,75.0,0.413,9.0,32.0,0.281,22.0,27.0,0.815,10.0,41.0,51.0,24.0,6.0,9.0,17.0,20.0,93.0,-1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,22018,1610612745.0,HOU,Houston Rockets,0021800997,2019-03-10,HOU @ DAL,W,240.0,32.0,88.0,0.364,16.0,52.0,0.308,14.0,22.0,0.636,13.0,28.0,41.0,18.0,6.0,4.0,13.0,20.0,94.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,22018,1610612752.0,NYK,New York Knicks,0021800998,2019-03-10,NYK @ MIN,L,240.0,37.0,86.0,0.43,10.0,25.0,0.4,8.0,14.0,0.571,10.0,33.0,43.0,20.0,5.0,8.0,19.0,14.0,92.0,-11.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,22018,1610612750.0,MIN,Minnesota Timberwolves,0021800998,2019-03-10,MIN vs. NYK,W,240.0,42.0,94.0,0.447,9.0,30.0,0.3,10.0,13.0,0.769,9.0,31.0,40.0,22.0,13.0,10.0,11.0,16.0,103.0,11.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,22018,1610612759.0,SAS,San Antonio Spurs,0021800999,2019-03-10,SAS vs. MIL,W,240.0,49.0,100.0,0.49,12.0,29.0,0.414,11.0,15.0,0.733,8.0,38.0,46.0,24.0,6.0,3.0,5.0,18.0,121.0,7.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,22018,1610612749.0,MIL,Milwaukee Bucks,0021800999,2019-03-10,MIL @ SAS,L,240.0,41.0,87.0,0.471,14.0,36.0,0.389,18.0,25.0,0.72,6.0,39.0,45.0,22.0,3.0,2.0,10.0,17.0,114.0,-7.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,22018,1610612756.0,PHX,Phoenix Suns,0021801000,2019-03-10,PHX @ GSW,W,240.0,42.0,86.0,0.488,10.0,25.0,0.4,21.0,27.0,0.778,9.0,40.0,49.0,26.0,9.0,4.0,17.0,18.0,115.0,4.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,22018,1610612744.0,GSW,Golden State Warriors,0021801000,2019-03-10,GSW vs. PHX,L,240.0,42.0,95.0,0.442,10.0,43.0,0.233,17.0,22.0,0.773,14.0,34.0,48.0,34.0,10.0,6.0,16.0,24.0,111.0,-4.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,22018,1610612765.0,DET,Detroit Pistons,0021800992,2019-03-10,DET vs. CHI,W,240.0,49.0,91.0,0.538,19.0,35.0,0.543,14.0,22.0,0.636,10.0,34.0,44.0,34.0,5.0,1.0,8.0,24.0,131.0,23.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,22018,1610612741.0,CHI,Chicago Bulls,0021800992,2019-03-10,CHI @ DET,L,240.0,41.0,82.0,0.5,9.0,18.0,0.5,17.0,26.0,0.654,6.0,31.0,37.0,18.0,4.0,5.0,10.0,18.0,108.0,-23.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,,,,Bulls,21800992,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2019-03-10T00:00:00,1.0,1610612741.0,CHI,Chicago,19-49,32.0,23.0,25.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.0,0.5,0.654,0.5,18.0,37.0,10.0
19,,,,Pistons,21800992,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2019-03-10T00:00:00,1.0,1610612765.0,DET,Detroit,34-31,31.0,30.0,42.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,131.0,0.5379999999999999,0.636,0.5429999999999999,34.0,44.0,7.0
20,,,,Raptors,21800993,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2019-03-10T00:00:00,2.0,1610612761.0,TOR,Toronto,48-19,32.0,36.0,23.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125.0,0.568,0.769,0.525,32.0,44.0,19.0
21,,,,Heat,21800993,,,,,,,,,,,,,,,,,,,,,,,,,3.0,2019-03-10T00:00:00,2.0,1610612748.0,MIA,Miami,31-35,27.0,27.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.0,0.457,0.5710000000000001,0.29600000000000004,27.0,36.0,13.0
22,,,,Pacers,21800994,,,,,,,,,,,,,,,,,,,,,,,,,4.0,2019-03-10T00:00:00,3.0,1610612754.0,IND,Indiana,42-25,25.0,34.0,11.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.0,0.373,0.595,0.313,18.0,44.0,14.0
23,,,,76ers,21800994,,,,,,,,,,,,,,,,,,,,,,,,,5.0,2019-03-10T00:00:00,3.0,1610612755.0,PHI,Philadelphia,42-25,26.0,25.0,21.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.0,0.43700000000000006,0.767,0.304,24.0,52.0,13.0
24,,,,Pelicans,21800995,,,,,,,,,,,,,,,,,,,,,,,,,6.0,2019-03-10T00:00:00,4.0,1610612740.0,NOP,New Orleans,30-39,33.0,33.0,20.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116.0,0.446,1.0,0.439,29.0,42.0,8.0
25,,,,Hawks,21800995,,,,,,,,,,,,,,,,,,,,,,,,,7.0,2019-03-10T00:00:00,4.0,1610612737.0,ATL,Atlanta,23-45,26.0,39.0,29.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128.0,0.49,0.833,0.45899999999999996,30.0,56.0,9.0
26,,,,Magic,21800996,,,,,,,,,,,,,,,,,,,,,,,,,8.0,2019-03-10T00:00:00,5.0,1610612753.0,ORL,Orlando,31-37,17.0,31.0,24.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.0,0.35600000000000004,0.852,0.316,23.0,52.0,13.0
27,,,,Grizzlies,21800996,,,,,,,,,,,,,,,,,,,,,,,,,9.0,2019-03-10T00:00:00,5.0,1610612763.0,MEM,Memphis,28-40,26.0,23.0,26.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105.0,0.415,0.903,0.29,23.0,46.0,11.0
28,,,,Rockets,21800997,,,,,,,,,,,,,,,,,,,,,,,,,10.0,2019-03-10T00:00:00,6.0,1610612745.0,HOU,Houston,41-25,25.0,33.0,23.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.0,0.364,0.636,0.308,18.0,41.0,12.0
29,,,,Mavericks,21800997,,,,,,,,,,,,,,,,,,,,,,,,,11.0,2019-03-10T00:00:00,6.0,1610612742.0,DAL,Dallas,27-39,26.0,28.0,18.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.0,0.413,0.815,0.281,24.0,51.0,16.0
30,,,,Knicks,21800998,,,,,,,,,,,,,,,,,,,,,,,,,12.0,2019-03-10T00:00:00,7.0,1610612752.0,NYK,New York,13-54,22.0,23.0,20.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.0,0.43,0.5710000000000001,0.4,20.0,43.0,17.0
31,,,,Timberwolves,21800998,,,,,,,,,,,,,,,,,,,,,,,,,13.0,2019-03-10T00:00:00,7.0,1610612750.0,MIN,Minnesota,32-35,23.0,32.0,25.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103.0,0.447,0.769,0.3,22.0,40.0,11.0
