,SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
0,22018,1610612761,TOR,Toronto Raptors,0021800993,2019-03-10,TOR @ MIA,W,240,42,74,0.568,21,40,0.525,20,26,0.769,6,38,44,32,8,8,21,23,125,21,2
1,22018,1610612748,MIA,Miami Heat,0021800993,2019-03-10,MIA vs. TOR,L,240,42,92,0.457,8,27,0.296,12,21,0.571,9,27,36,27,13,0,14,22,104,-21,2
2,22018,1610612754,IND,Indiana Pacers,0021800994,2019-03-10,IND @ PHI,L,240,31,83,0.373,5,16,0.313,22,37,0.595,12,32,44,18,8,4,14,27,89,-17,2
3,22018,1610612755,PHI,Philadelphia 76ers,0021800994,2019-03-10,PHI vs. IND,W,240,38,87,0.437,7,23,0.304,23,30,0.767,13,39,52,24,10,3,13,26,106,17,2
4,22018,1610612740,NOP,New Orleans Pelicans,0021800995,2019-03-10,NOP @ ATL,L,240,45,101,0.446,18,41,0.439,8,8,1.0,5,37,42,29,6,9,8,17,116,-12,2
5,22018,1610612737,ATL,Atlanta Hawks,0021800995,2019-03-10,ATL vs. NOP,W,240,48,98,0.49,17,37,0.459,15,18,0.833,10,46,56,30,4,5,10,12,128,12,2
6,22018,1610612763,MEM,Memphis Grizzlies,0021800996,2019-03-10,MEM vs. ORL,W,240,34,82,0.415,9,31,0.29,28,31,0.903,6,40,46,23,6,6,13,22,105,8,2
7,22018,1610612753,ORL,Orlando Magic,0021800996,2019-03-10,ORL @ MEM,L,240,31,87,0.356,12,38,0.316,23,27,0.852,14,38,52,23,7,4,14,23,97,-8,2
8,22018,1610612742,DAL,Dallas Mavericks,0021800997,2019-03-10,DAL vs. HOU,L,240,31,75,0.413,9,32,0.281,22,27,0.815,10,41,51,24,6,9,17,20,93,-1,2
9,22018,1610612745,HOU,Houston Rockets,0021800997,2019-03-10,HOU @ DAL,W,240,32,88,0.364,16,52,0.308,14,22,0.636,13,28,41,18,6,4,13,20,94,1,2
10,22018,1610612765,DET,Detroit Pistons,0021800992,2019-03-10,DET vs. CHI,W,240,49,91,0.538,19,35,0.543,14,22,0.636,10,34,44,34,5,1,8,24,131,23,2
11,22018,1610612741,CHI,Chicago Bulls,0021800992,2019-03-10,CHI @ DET,L,240,41,82,0.5,9,18,0.5,17,26,0.654,6,31,37,18,4,5,10,18,108,-23,2
12,22018,1610612752,NYK,New York Knicks,0021800998,2019-03-10,NYK @ MIN,L,240,37,86,0.43,10,25,0.4,8,14,0.571,10,33,43,20,5,8,19,14,92,-11,2
13,22018,1610612750,MIN,Minnesota Timberwolves,0021800998,2019-03-10,MIN vs. NYK,W,240,42,94,0.447,9,30,0.3,10,13,0.769,9,31,40,22,13,10,11,16,103,11,2
14,22018,1610612759,SAS,San Antonio Spurs,0021800999,2019-03-10,SAS vs. MIL,W,240,49,100,0.49,12,29,0.414,11,15,0.733,8,38,46,24,6,3,5,18,121,7,2
15,22018,1610612749,MIL,Milwaukee Bucks,0021800999,2019-03-10,MIL @ SAS,L,240,41,87,0.471,14,36,0.389,18,25,0.72,6,39,45,22,3,2,10,17,114,-7,2
16,22018,1610612756,PHX,Phoenix Suns,0021801000,2019-03-10,PHX @ GSW,W,240,42,86,0.488,10,25,0.4,21,27,0.778,9,40,49,26,9,4,17,18,115,4,2
17,22018,1610612744,GSW,Golden State Warriors,0021801000,2019-03-10,GSW vs. PHX,L,240,42,95,0.442,10,43,0.233,17,22,0.773,14,34,48,34,10,6,16,24,111,-4,2
